{{0, 1, 4}, {1, 3, 4}, {3, 4, 6}, {4, 6, 7}, {6, 7, 9}}{11, 7, 15, 3, 2, 15, 0, 0, 15, 0}
{{0, 1, 5}, {0, 4, 5}, {1, 2, 5}, {2, 3, 6}, {2, 5, 6}, {4, 5, 7}, {5, 6, 7}, {6, 7, 8}, {7, 8, 9}}{13, 10, 8, 8, 6, 2, 1, 0, 0, 0}
{{0, 1, 4}, {1, 2, 4}, {2, 3, 6}, {2, 4, 5}, {2, 5, 6}, {4, 5, 7}, {5, 6, 8}, {5, 7, 8}, {7, 8, 9}}{9, 6, 4, 6, 2, 1, 2, 0, 0, 0}
{{0, 1, 4}, {1, 2, 4}, {2, 3, 4}, {3, 4, 5}, {3, 5, 6}, {4, 5, 7}, {5, 6, 8}, {5, 7, 9}, {5, 8, 9}}{15, 10, 6, 3, 1, -1, 1, 0, 0, 0}
{{0, 1, 4}, {1, 3, 4}, {3, 4, 5}, {3, 5, 6}, {4, 5, 7}, {5, 6, 7}, {6, 7, 9}}{16, 11, 18, 3, 4, 1, 0, 0, 18, 0}
{{0, 3, 5}, {0, 5, 7}, {3, 5, 6}, {5, 6, 7}, {6, 7, 8}, {7, 8, 9}}{8, 9, 9, 4, 9, 2, 1, 0, 0, 0}
{{0, 2, 4}, {2, 3, 6}, {2, 4, 5}, {2, 5, 6}, {4, 5, 7}, {5, 6, 9}, {5, 7, 9}}{8, 10, 0, 3, 2, -1, 0, 0, 10, 0}
{{0, 2, 4}, {2, 3, 4}, {3, 4, 6}, {4, 6, 8}, {4, 8, 9}}{13, 17, 7, 6, 0, 17, 2, 17, 0, 0}
{{0, 1, 7}, {1, 2, 5}, {1, 5, 7}, {2, 3, 5}, {3, 5, 6}, {5, 6, 7}, {6, 7, 9}}{22, 11, 6, 3, 24, 1, 0, 0, 24, 0}
{{0, 3, 5}, {0, 4, 5}, {3, 5, 8}, {4, 5, 7}, {5, 7, 8}, {7, 8, 9}}{5, 6, 6, 3, 2, 1, 6, 0, 0, 0}
{{0, 3, 4}, {3, 4, 5}, {3, 5, 9}, {4, 5, 7}, {5, 7, 9}}{5, 6, 6, 1, 1, 0, 6, 0, 6, 0}
{{0, 1, 4}, {1, 2, 4}, {2, 3, 8}, {2, 4, 8}, {4, 8, 9}}{11, 4, 3, 6, 0, 17, 17, 17, 0, 0}
{{0, 3, 5}, {0, 4, 5}, {3, 5, 6}, {4, 5, 7}, {5, 6, 9}, {5, 7, 9}}{8, 10, 10, 1, 2, -1, 0, 0, 10, 0}
{{0, 1, 4}, {1, 2, 4}, {2, 3, 5}, {2, 4, 5}, {3, 5, 6}, {4, 5, 8}, {4, 8, 9}, {5, 6, 8}}{6, 5, 5, 7, -1, 0, 3, 8, 0, 0}
{{0, 1, 4}, {1, 3, 4}, {3, 4, 5}, {3, 5, 8}, {4, 5, 8}, {4, 8, 9}}{2, 2, 4, 3, -1, 0, 4, 4, 0, 0}
{{0, 2, 4}, {2, 3, 5}, {2, 4, 5}, {3, 5, 6}, {4, 5, 7}, {5, 6, 7}, {6, 7, 9}}{18, 20, 6, 3, 6, 1, 0, 0, 20, 0}
{{0, 2, 4}, {2, 3, 6}, {2, 4, 5}, {2, 5, 6}, {4, 5, 7}, {5, 6, 7}, {6, 7, 9}}{12, 14, 4, 5, 4, 1, 0, 0, 14, 0}
{{0, 1, 4}, {1, 3, 5}, {1, 4, 5}, {3, 5, 8}, {4, 5, 7}, {5, 7, 8}, {7, 8, 9}}{6, 4, 7, 3, 2, 1, 7, 0, 0, 0}
{{0, 1, 4}, {1, 3, 5}, {1, 4, 7}, {1, 5, 7}, {3, 5, 6}, {5, 6, 7}, {6, 7, 9}}{18, 7, 20, 3, 8, 1, 0, 0, 20, 0}
{{0, 1, 4}, {1, 2, 6}, {1, 4, 7}, {1, 5, 6}, {1, 5, 7}, {2, 3, 6}, {5, 6, 7}, {6, 7, 8}, {7, 8, 9}}{11, 6, 6, 7, 5, 2, 1, 0, 0, 0}
{{0, 3, 5}, {0, 4, 5}, {3, 5, 6}, {4, 5, 7}, {5, 6, 7}, {6, 7, 9}}{10, 12, 12, 3, 4, 1, 0, 0, 12, 0}
{{0, 1, 4}, {1, 3, 5}, {1, 4, 5}, {3, 5, 6}, {4, 5, 7}, {5, 6, 9}, {5, 7, 9}}{10, 5, 12, 1, 2, -1, 0, 0, 12, 0}
{{0, 3, 4}, {3, 4, 8}, {4, 7, 8}, {7, 8, 9}}{5, 8, 8, 6, 2, 8, 8, 0, 0, 0}
{{0, 1, 4}, {1, 2, 4}, {2, 3, 4}, {3, 4, 5}, {3, 5, 9}, {4, 5, 7}, {5, 7, 9}}{10, 6, 3, 1, 1, 0, 11, 0, 11, 0}
{{0, 1, 4}, {1, 3, 5}, {1, 4, 5}, {3, 5, 6}, {4, 5, 7}, {5, 6, 7}, {6, 7, 9}}{12, 7, 14, 3, 4, 1, 0, 0, 14, 0}
{{0, 2, 4}, {2, 3, 4}, {3, 4, 5}, {3, 5, 6}, {4, 5, 9}, {5, 6, 9}}{15, 17, 5, 1, 2, 0, 0, 17, 17, 0}
{{0, 3, 4}, {3, 4, 6}, {4, 6, 7}, {6, 7, 9}}{8, 12, 12, 3, 2, 12, 0, 0, 12, 0}
{{0, 1, 4}, {1, 3, 4}, {3, 4, 5}, {3, 5, 6}, {4, 5, 8}, {4, 7, 8}, {5, 6, 8}, {7, 8, 9}}{8, 8, 10, 9, 1, 2, 4, 0, 0, 0}
{{0, 1, 4}, {1, 2, 4}, {2, 3, 4}, {3, 4, 5}, {3, 5, 6}, {4, 5, 7}, {5, 6, 8}, {5, 7, 8}, {7, 8, 9}}{14, 10, 7, 5, 2, 1, 2, 0, 0, 0}
{{0, 3, 4}, {3, 4, 5}, {3, 5, 7}, {3, 6, 7}, {4, 5, 7}, {6, 7, 9}}{24, 26, 26, 1, 10, 3, 0, 0, 26, 0}
{{0, 3, 6}, {0, 5, 6}, {0, 5, 7}, {5, 6, 7}, {6, 7, 9}}{6, 8, 8, 5, 8, 1, 0, 0, 8, 0}
{{0, 3, 4}, {3, 4, 5}, {3, 5, 6}, {4, 5, 7}, {5, 6, 8}, {5, 7, 9}, {5, 8, 9}}{10, 11, 11, 3, 1, -1, 1, 0, 0, 0}
{{0, 1, 4}, {1, 2, 5}, {1, 4, 5}, {2, 3, 6}, {2, 5, 6}, {4, 5, 7}, {5, 6, 8}, {5, 7, 8}, {7, 8, 9}}{6, 4, 4, 6, 2, 1, 2, 0, 0, 0}
{{0, 1, 4}, {1, 3, 4}, {3, 4, 5}, {3, 5, 8}, {4, 5, 9}, {5, 8, 9}}{6, 4, 7, 1, 1, 0, 7, 7, 0, 0}
{{0, 3, 6}, {0, 4, 6}, {4, 6, 7}, {6, 7, 9}}{6, 10, 10, 5, 2, 10, 0, 0, 10, 0}
{{0, 1, 4}, {1, 3, 4}, {3, 4, 5}, {3, 5, 6}, {4, 5, 7}, {5, 6, 7}, {6, 7, 8}, {7, 8, 9}}{12, 9, 13, 4, 4, 2, 1, 0, 0, 0}
{{0, 1, 4}, {1, 3, 4}, {3, 4, 6}, {4, 6, 7}, {6, 7, 8}, {7, 8, 9}}{23, 18, 27, 12, 8, 27, 4, 0, 0, 0}
{{0, 1, 5}, {0, 4, 5}, {1, 3, 5}, {3, 5, 8}, {4, 5, 7}, {5, 7, 9}, {5, 8, 9}}{3, 2, 4, 1, 1, -1, 4, 0, 0, 0}
{{0, 2, 4}, {2, 3, 4}, {3, 4, 5}, {3, 5, 6}, {4, 5, 9}, {5, 6, 8}, {5, 8, 9}}{10, 11, 5, 3, 1, 0, 1, 11, 0, 0}
{{0, 1, 7}, {1, 2, 5}, {1, 5, 7}, {2, 3, 5}, {3, 5, 6}, {5, 6, 8}, {5, 7, 8}, {7, 8, 9}}{11, 6, 5, 5, 12, 1, 2, 0, 0, 0}
{{0, 2, 5}, {0, 5, 7}, {2, 3, 6}, {2, 5, 6}, {5, 6, 7}, {6, 7, 8}, {7, 8, 9}}{8, 9, 5, 5, 9, 2, 1, 0, 0, 0}
{{0, 2, 4}, {2, 3, 4}, {3, 4, 5}, {3, 5, 8}, {4, 5, 8}, {4, 8, 9}}{4, 5, 3, 3, -1, 0, 5, 5, 0, 0}
{{0, 2, 4}, {2, 3, 6}, {2, 4, 5}, {2, 5, 8}, {2, 6, 8}, {4, 5, 7}, {5, 7, 8}, {7, 8, 9}}{6, 8, 3, 7, 2, 1, 3, 0, 0, 0}
{{0, 2, 4}, {2, 3, 5}, {2, 4, 5}, {3, 5, 6}, {4, 5, 7}, {5, 6, 8}, {5, 7, 8}, {7, 8, 9}}{8, 9, 5, 5, 2, 1, 2, 0, 0, 0}
{{0, 2, 4}, {2, 3, 4}, {3, 4, 5}, {3, 5, 6}, {4, 5, 7}, {5, 6, 8}, {5, 7, 9}, {5, 8, 9}}{13, 14, 6, 3, 1, -1, 1, 0, 0, 0}
{{0, 1, 4}, {1, 2, 5}, {1, 4, 5}, {2, 3, 5}, {3, 5, 6}, {4, 5, 9}, {5, 6, 9}}{15, 7, 3, 1, 6, 0, 0, 17, 17, 0}
{{0, 1, 5}, {0, 5, 7}, {1, 3, 5}, {3, 5, 6}, {5, 6, 7}, {6, 7, 8}, {7, 8, 9}}{9, 7, 10, 4, 10, 2, 1, 0, 0, 0}
{{0, 3, 5}, {0, 4, 5}, {3, 5, 6}, {4, 5, 7}, {5, 6, 7}, {6, 7, 8}, {7, 8, 9}}{9, 10, 10, 4, 4, 2, 1, 0, 0, 0}
{{0, 2, 4}, {2, 3, 4}, {3, 4, 5}, {3, 5, 8}, {4, 5, 7}, {5, 7, 9}, {5, 8, 9}}{11, 12, 4, 1, 1, -1, 12, 0, 0, 0}
{{0, 1, 5}, {0, 4, 5}, {1, 2, 5}, {2, 3, 5}, {3, 5, 6}, {4, 5, 7}, {5, 6, 9}, {5, 7, 9}}{6, 3, 2, 3, 2, -3, 0, 0, 8, 0}
{{0, 3, 4}, {3, 4, 5}, {3, 5, 6}, {4, 5, 7}, {5, 6, 8}, {5, 7, 8}, {7, 8, 9}}{9, 10, 10, 5, 2, 1, 2, 0, 0, 0}
{{0, 2, 5}, {0, 5, 7}, {2, 3, 5}, {3, 5, 6}, {5, 6, 9}, {5, 7, 9}}{6, 8, 2, 1, 8, -1, 0, 0, 8, 0}
{{0, 2, 5}, {0, 5, 7}, {2, 3, 6}, {2, 5, 6}, {5, 6, 7}, {6, 7, 9}}{8, 10, 4, 5, 10, 1, 0, 0, 10, 0}
{{0, 3, 5}, {0, 4, 5}, {3, 5, 9}, {4, 5, 7}, {5, 7, 9}}{3, 4, 4, 1, 1, 0, 4, 0, 4, 0}
{{0, 1, 4}, {1, 2, 4}, {2, 3, 4}, {3, 4, 5}, {3, 5, 8}, {4, 5, 8}, {4, 7, 8}, {7, 8, 9}}{10, 8, 7, 7, 1, 2, 11, 0, 0, 0}
{{0, 1, 4}, {1, 3, 6}, {1, 4, 5}, {1, 5, 6}, {4, 5, 7}, {5, 6, 8}, {5, 7, 8}, {7, 8, 9}}{6, 4, 8, 7, 2, 1, 2, 0, 0, 0}
{{0, 1, 5}, {0, 4, 5}, {1, 2, 5}, {2, 3, 5}, {3, 5, 6}, {4, 5, 7}, {5, 6, 7}, {6, 7, 9}}{22, 15, 10, 7, 10, 1, 0, 0, 24, 0}
{{0, 1, 5}, {0, 4, 5}, {1, 3, 5}, {3, 5, 9}, {4, 5, 9}}{1, 3, 11, 9, 0, 0, 11, 11, 11, 0}
{{0, 1, 7}, {1, 3, 5}, {1, 5, 7}, {3, 5, 6}, {5, 6, 8}, {5, 7, 8}, {7, 8, 9}}{7, 4, 8, 5, 8, 1, 2, 0, 0, 0}
{{0, 2, 4}, {2, 3, 4}, {3, 4, 5}, {3, 5, 8}, {4, 5, 9}, {5, 8, 9}}{8, 9, 3, 1, 1, 0, 9, 9, 0, 0}
{{0, 1, 5}, {0, 4, 5}, {1, 3, 5}, {3, 5, 6}, {4, 5, 7}, {5, 6, 9}, {5, 7, 9}}{6, 5, 8, 5, 2, -1, 0, 0, 8, 0}
{{0, 2, 4}, {2, 3, 4}, {3, 4, 6}, {4, 6, 7}, {6, 7, 8}, {7, 8, 9}}{7, 8, 4, 3, 2, 8, 1, 0, 0, 0}
{{0, 2, 4}, {2, 3, 4}, {3, 4, 9}}{9, 15, 1, 0, 0, 15, 15, 15, 15, 0}
{{0, 1, 4}, {1, 3, 5}, {1, 4, 5}, {3, 5, 6}, {4, 5, 8}, {4, 7, 8}, {5, 6, 8}, {7, 8, 9}}{6, 6, 10, 9, 1, 2, 4, 0, 0, 0}
{{0, 1, 5}, {0, 4, 5}, {1, 3, 5}, {3, 5, 6}, {4, 5, 7}, {5, 6, 8}, {5, 7, 8}, {7, 8, 9}}{5, 5, 7, 6, 2, 1, 2, 0, 0, 0}
{{0, 3, 4}, {3, 4, 6}, {4, 6, 8}, {4, 7, 8}, {7, 8, 9}}{7, 11, 11, 9, 2, 11, 4, 0, 0, 0}
{{0, 1, 4}, {1, 2, 6}, {1, 4, 5}, {1, 5, 6}, {2, 3, 6}, {4, 5, 7}, {5, 6, 7}, {6, 7, 8}, {7, 8, 9}}{10, 7, 7, 8, 4, 2, 1, 0, 0, 0}
{{0, 2, 4}, {2, 3, 9}, {2, 4, 9}}{3, 15, -2, 0, 0, 15, 15, 15, 15, 0}
{{0, 3, 4}, {3, 4, 5}, {3, 5, 6}, {4, 5, 9}, {5, 6, 8}, {5, 8, 9}}{7, 8, 8, 3, 1, 0, 1, 8, 0, 0}
{{0, 1, 5}, {0, 4, 5}, {1, 3, 5}, {3, 5, 6}, {4, 5, 7}, {5, 6, 7}, {6, 7, 9}}{14, 11, 16, 7, 6, 1, 0, 0, 16, 0}
{{0, 2, 4}, {2, 3, 6}, {2, 4, 6}, {4, 6, 7}, {6, 7, 9}}{8, 12, 4, 5, 2, 12, 0, 0, 12, 0}
{{0, 1, 4}, {1, 3, 5}, {1, 4, 5}, {3, 5, 6}, {4, 5, 7}, {5, 6, 7}, {6, 7, 8}, {7, 8, 9}}{10, 7, 11, 4, 4, 2, 1, 0, 0, 0}
{{0, 1, 4}, {1, 2, 4}, {2, 3, 4}, {3, 4, 8}, {4, 8, 9}}{31, 14, 5, 4, 0, 39, 39, 39, 0, 0}
{{0, 2, 4}, {2, 3, 4}, {3, 4, 5}, {3, 5, 6}, {4, 5, 7}, {5, 6, 8}, {5, 7, 8}, {7, 8, 9}}{12, 13, 7, 5, 2, 1, 2, 0, 0, 0}
{{0, 2, 4}, {2, 3, 4}, {3, 4, 5}, {3, 5, 8}, {4, 5, 7}, {5, 7, 8}, {7, 8, 9}}{10, 11, 5, 3, 2, 1, 11, 0, 0, 0}
{{0, 1, 4}, {1, 2, 4}, {2, 3, 4}, {3, 4, 6}, {4, 6, 8}, {4, 7, 8}, {7, 8, 9}}{15, 11, 9, 9, 2, 17, 4, 0, 0, 0}
{{0, 1, 4}, {1, 2, 4}, {2, 3, 6}, {2, 4, 6}, {4, 6, 7}, {6, 7, 8}, {7, 8, 9}}{13, 9, 7, 7, 4, 15, 2, 0, 0, 0}
{{0, 2, 4}, {2, 3, 4}, {3, 4, 5}, {3, 5, 6}, {4, 5, 7}, {5, 6, 9}, {5, 7, 9}}{18, 20, 6, 1, 2, -1, 0, 0, 20, 0}
{{0, 3, 9}}{0, 1, 1, 0, 1, 1, 1, 1, 1, 0}
{{0, 1, 4}, {1, 2, 4}, {2, 3, 4}, {3, 4, 5}, {3, 5, 6}, {4, 5, 8}, {4, 8, 9}, {5, 6, 8}}{8, 6, 5, 5, -1, 0, 2, 9, 0, 0}
{{0, 3, 4}, {3, 4, 5}, {3, 5, 8}, {4, 5, 7}, {5, 7, 9}, {5, 8, 9}}{8, 9, 9, 1, 1, -1, 9, 0, 0, 0}
{{0, 2, 4}, {2, 3, 4}, {3, 4, 5}, {3, 5, 6}, {4, 5, 7}, {5, 6, 7}, {6, 7, 9}}{20, 22, 8, 3, 4, 1, 0, 0, 22, 0}
{{0, 1, 4}, {1, 2, 4}, {2, 3, 4}, {3, 4, 7}, {3, 6, 7}, {6, 7, 9}}{16, 9, 4, 1, 4, 18, 0, 0, 18, 0}
{{0, 3, 5}, {0, 5, 7}, {3, 5, 6}, {5, 6, 8}, {5, 7, 9}, {5, 8, 9}}{1, 4, 4, 3, 4, -1, 1, 0, 0, 0}
{{0, 1, 4}, {1, 2, 6}, {1, 4, 6}, {2, 3, 6}, {4, 6, 7}, {6, 7, 9}}{8, 5, 6, 11, 2, 15, 0, 0, 15, 0}
{{0, 1, 4}, {1, 2, 4}, {2, 3, 4}, {3, 4, 5}, {3, 5, 9}, {4, 5, 9}}{13, 7, 3, 1, 0, 0, 15, 15, 15, 0}
{{0, 1, 4}, {1, 2, 4}, {2, 3, 4}, {3, 4, 5}, {3, 5, 7}, {3, 6, 7}, {4, 5, 7}, {6, 7, 8}, {7, 8, 9}}{21, 14, 8, 3, 7, 3, 1, 0, 0, 0}
{{0, 2, 4}, {2, 3, 4}, {3, 4, 8}, {4, 7, 8}, {7, 8, 9}}{4, 5, 3, 3, 1, 5, 5, 0, 0, 0}
{{0, 1, 7}, {1, 3, 6}, {1, 5, 6}, {1, 5, 7}, {5, 6, 7}, {6, 7, 9}}{10, 5, 12, 5, 12, 1, 0, 0, 12, 0}
{{0, 1, 4}, {1, 3, 5}, {1, 4, 5}, {3, 5, 6}, {4, 5, 9}, {5, 6, 9}}{7, 3, 9, 1, 2, 0, 0, 9, 9, 0}
{{0, 1, 4}, {1, 2, 4}, {2, 3, 5}, {2, 4, 5}, {3, 5, 6}, {4, 5, 7}, {5, 6, 9}, {5, 7, 9}}{14, 7, 2, 1, 2, -1, 0, 0, 16, 0}
{{0, 3, 5}, {0, 5, 7}, {3, 5, 6}, {5, 6, 9}, {5, 7, 9}}{2, 4, 4, 1, 4, -1, 0, 0, 4, 0}
{{0, 1, 4}, {1, 3, 5}, {1, 4, 7}, {1, 5, 7}, {3, 5, 6}, {5, 6, 7}, {6, 7, 8}, {7, 8, 9}}{13, 7, 14, 4, 6, 2, 1, 0, 0, 0}
{{0, 1, 5}, {0, 5, 7}, {1, 3, 5}, {3, 5, 6}, {5, 6, 9}, {5, 7, 9}}{2, 1, 4, 1, 4, -1, 0, 0, 4, 0}
{{0, 2, 4}, {2, 3, 4}, {3, 4, 8}, {4, 8, 9}}{15, 23, 5, 4, 0, 23, 23, 23, 0, 0}
{{0, 3, 4}, {3, 4, 9}}{1, 7, 7, 0, 0, 7, 7, 7, 7, 0}
{{0, 2, 4}, {2, 3, 4}, {3, 4, 6}, {4, 6, 7}, {6, 7, 9}}{16, 20, 6, 3, 2, 20, 0, 0, 20, 0}
{{0, 1, 4}, {1, 2, 4}, {2, 3, 6}, {2, 4, 5}, {2, 5, 6}, {4, 5, 7}, {5, 6, 7}, {6, 7, 9}}{16, 9, 4, 5, 4, 1, 0, 0, 18, 0}
{{0, 3, 5}, {0, 5, 7}, {3, 5, 6}, {5, 6, 7}, {6, 7, 9}}{8, 10, 10, 3, 10, 1, 0, 0, 10, 0}
{{0, 1, 4}, {1, 3, 4}, {3, 4, 5}, {3, 5, 8}, {4, 5, 8}, {4, 7, 8}, {7, 8, 9}}{6, 6, 8, 7, 1, 2, 8, 0, 0, 0}
{{0, 1, 4}, {1, 2, 5}, {1, 4, 5}, {2, 3, 5}, {3, 5, 6}, {4, 5, 7}, {5, 6, 8}, {5, 7, 8}, {7, 8, 9}}{9, 6, 5, 5, 3, 1, 2, 0, 0, 0}
{{0, 1, 4}, {1, 2, 4}, {2, 3, 5}, {2, 4, 5}, {3, 5, 6}, {4, 5, 8}, {4, 7, 8}, {5, 6, 8}, {7, 8, 9}}{10, 9, 9, 11, 1, 2, 5, 0, 0, 0}
{{0, 1, 4}, {1, 2, 4}, {2, 3, 4}, {3, 4, 6}, {4, 6, 8}, {4, 8, 9}}{21, 12, 7, 6, 0, 25, 2, 25, 0, 0}
{{0, 1, 4}, {1, 3, 4}, {3, 4, 5}, {3, 5, 9}, {4, 5, 7}, {5, 7, 9}}{6, 4, 7, 1, 1, 0, 7, 0, 7, 0}
{{0, 1, 5}, {0, 5, 7}, {1, 3, 5}, {3, 5, 6}, {5, 6, 7}, {6, 7, 9}}{10, 7, 12, 3, 12, 1, 0, 0, 12, 0}
